CWI_ID,TCMBank_ID,level1_name_en,level2_name,TCM_name,TCM_name_en,Herb_pinyin_name,Herb_latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID
CWIHE000011,TCMBANKHE000011,,,,Spatulate Alstonia,DAO ZHUANG JI GU CHANG SHAN,Alstonia spatulata,,,,,,,,,,,2093,,,HERB001224
CWIHE000012,TCMBANKHE000012,,,纳氏西瓜,Naudin Citrullus*,,,,,,,,,,,,,,,,
CWIHE000013,TCMBANKHE000013,,,秋植酢浆草 (黄麻子),,,,,,,,,,,,,,,,,
CWIHE000014,TCMBANKHE000014,,,豨莶,Common St. PauIswort,,,,,,,,,,,,,,,,
CWIHE000015,TCMBANKHE000015,,,,Ashurbajev Wormwood,A SHI HAO,Artemisia ashurbajevii,,,,,,,,,,,2649,,,HERB000027
CWIHE000016,TCMBANKHE000016,,,紫苏苞,Calyx Perillae frutescentis,ZI SU BAO,,,,,,,,,,,,7511,,,HERB007209
CWIHE000017,TCMBANKHE000017,,,硬毛小芸木,Hairy Micromelum*,,,,,,,,,,,,,,,,
CWIHE000018,TCMBANKHE000018,,,瓦斯马尾藻,Vachelli Gulfweed*,,,,,,,,,,,,,,,,
CWIHE000019,TCMBANKHE000019,,,延胡索(元胡),Yanhusuo,,,,,,,,,,,,,,,,
CWIHE000020,TCMBANKHE000020,,,短碎胡椒,Shortspike Pepper,DUAN SUI HU JIAO,Piper brachystachyum,,,,,,,,,,,6484,,,HERB001443
CWIHE000021,TCMBANKHE000021,,,煅自然铜,Calcined Pyrite,DUAN ZHI RAN TONG,Pyritum Preparata,Mild; Pungent,Liver,,"Treatment of traumatic swelling and pain, bone fracture.","Treatment of traumatic swelling and pain, bone fracture.",,,Blood activation and stasis removal,活血化淤,,6755,,232,HERB001459
CWIHE000022,TCMBANKHE000022,,,紫锥花,Echinacea,ZI ZHUI HUA,Echinacea purpurea,,,root of Echinacea purpurea,"Used as a general nonspecific stimulant to the immune system, supporting and stabilizing cellular immunity and cleansing the blood, for the prevention and treatment of infections. There are no known side effects associated with it's use.","Used as a general nonspecific stimulant to the immune system, supporting and stabilizing cellular immunity and cleansing the blood, for the prevention and treatment of infections. There are no known side effects associated with it's use.",,,,,,5430,,1100,HERB007240
CWIHE000023,TCMBANKHE000023,,,,Hada Mosla,HA DA SHI JI NING,Orthodon hadai,,,,,,,,,,,5478,,,HERB002071
CWIHE000024,TCMBANKHE000024,,,羊蹄叶,Folium Rumex japonici,YANG TI YE,,,,,,,,,,,,4592,,,HERB006408
CWIHE000025,TCMBANKHE000025,,,戟叶秋海棠,,,,,,,,,,,,,,,,,
CWIHE000026,TCMBANKHE000026,,,塞勒罗勒,Sello Basil*,,,,,,,,,,,,,,,,
CWIHE000027,TCMBANKHE000027,,,,Stipular Crotalaria,TUO YE ZHU SHI DOU,Crotalaria stipularia,,,,,,,,,,,1980,,,HERB005593
CWIHE000028,TCMBANKHE000028,,,萝卜花菱草,Lobb Poppy,LUO BO HUA LING CAO,Eschscholzia lobbii,,,,,,,,,,,4388,,,HERB003571
CWIHE000029,TCMBANKHE000029,,,攸县鸭脚树,Limited Alstonia,YOU XIAN YA JIAO SHU,Alstonia restricta,,,,,,,,,,,5808,,,HERB006695
CWIHE000030,TCMBANKHE000030,,,黄花海罂粟,Yellowflower Hornpoppy,HUANG HUA HAI YING SU,Glaucium davum,,,,,,,,,,,6903,,,HERB002514
CWIHE000031,TCMBANKHE000031,,,蛤蟆油,Forest Frog's Oviduct,HA MA YOU,Oviductus Ranae,,,Rana chensinensis David,"Treatment of listlessness, cardiac papitation, insomnia and night sweating in debility or in convalescence, hemoptysis in phthisis.","Treatment of listlessness, cardiac papitation, insomnia and night sweating in debility or in convalescence, hemoptysis in phthisis.",,,For tonifying weakness,补虚,,2337,,945,HERB002072
CWIHE000032,TCMBANKHE000032,,,印度铁线子,Indian Balata*,,,,,,,,,,,,,,,,
CWIHE000033,TCMBANKHE000033,,,硬毛胡椒,Hispid Pepper*,,,,,,,,,,,,,,,,
CWIHE000034,TCMBANKHE000034,,,食叶草,Reini Milkwort,SHI YE CAO,Polygala reinii,,,,,,,,,,,5973,,,HERB005100
CWIHE000035,TCMBANKHE000035,,,栽培紫菀,Cultivated Aster*,,,,,,,,,,,,,,,,
CWIHE000036,TCMBANKHE000036,,,,Plantain Banana Cultivariaty,FEN BA JIAO ZA JIAO ZHONG ZHI BIAN ZHONG,Musa x paradisiaca cultivar,,,,,,,,,,,3076,,,HERB001678
CWIHE000037,TCMBANKHE000037,,,连香树果,Cercidiphyllum japonicum Sieb. et Zucc.,LIAN XIANG SHU GUO,,,,,,,,,,,,1667,,,HERB003366
CWIHE000038,TCMBANKHE000038,,,海燕,,,,,,,,,,,,,,,,,
CWIHE000039,TCMBANKHE000039,,,蒜梗,,SUAN GENG,,,,,,,,,,,,3852,,,HERB005308
CWIHE000040,TCMBANKHE000040,,,日本白松风草,Japanese White Chinaure*,,,,,,,,,,,,,,,,
CWIHE000041,TCMBANKHE000041,,,核桃 (胡桃),,,,,,,,,,,,,,,,,
CWIHE000042,TCMBANKHE000042,,,灌木奥拓斯特草,Shrubby Otostegia,GUAN MU AO TUO SI TE CAO,Otostegia fruticosa,,,,,,,,,,,7423,,,HERB001971
CWIHE000043,TCMBANKHE000043,,,豆科,,,,,,,,,,,,,,,,,
CWIHE000044,TCMBANKHE000044,,,细心野牵牛,Wildginger-leaf Morning Glory,XI XIN YE QIAN NIU,Ipomoea asarifolia,,,,,,,,,,,3118,,,HERB005895
CWIHE000045,TCMBANKHE000045,,, 水飞蓟,St. Marys,,,,,,,,,,,,,,,,
CWIHE000046,TCMBANKHE000046,,,脐石花,Omphalos Parmelia* ,,,,,,,,,,,,,,,,
CWIHE000047,TCMBANKHE000047,,,制龟板,Prepared Tortoise plastron,ZHI GUI BAN,Plastrum Testudinis Praparata,Cold; Sweet; Salty,Liver; Heart; Kidney,,"Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh","Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ",,,For tonifying weakness,补虚,,6797,,850,HERB006993
CWIHE000048,TCMBANKHE000048,,,,Rotate Hymenocallis,FU ZHUANG SHUI GUI JIAO,Hymenocallis rotata,,,,,,,,,,,1965,,,HERB001775
CWIHE000049,TCMBANKHE000049,,, 黑色葡萄穗霉,,,,,,,,,,,,,,,,,
CWIHE000050,TCMBANKHE000050,,,十蕊商陆,,SHI RUI SHANG LU,,,,,,,,,,,,2331,,,HERB005084
CWIHE000051,TCMBANKHE000051,,,柳属,,,,,,,,,,,,,,,,,
CWIHE000052,TCMBANKHE000052,,,白花夏枯草,Dracoccephalum heterophyllum Benth,BAI HUA XIA KU CAO,,,,,,,,,,,,1579,,,HERB000211
CWIHE000053,TCMBANKHE000053,,,积甘草,Echinate Licorice,JI GAN CAO,Glycyrrhiza echinata,,,,,,,,,,,4937,,,HERB002664
CWIHE000054,TCMBANKHE000054,,,小舌菊根,Pearleaf Microglossa,,,,,,,,,,,,,,,,
CWIHE000055,TCMBANKHE000055,,,橘红珠,Fructus Citri grandis,JU HONG ZHU,,,,,,,,,,,,5510,,,HERB003030
CWIHE000056,TCMBANKHE000056,,,十字花科,,,,,,,,,,,,,,,,,
CWIHE000057,TCMBANKHE000057,,,寻常海绵纲 ,,,,,,,,,,,,,,,,,
CWIHE000058,TCMBANKHE000058,,,短柔毛大戟,Shortfluff Euphorbia*,,,,,,,,,,,,,,,,
CWIHE000059,TCMBANKHE000059,,,苦鸦胆子,Bitter Brucea*,,,,,,,,,,,,,,,,
CWIHE000060,TCMBANKHE000060,,,,Reunion-Island Melicope,RU NI WENG DAO MI ZHU YU,Melicope coodeana,,,,,,,,,,,7367,,,HERB004718
CWIHE000061,TCMBANKHE000061,,,冰豆,Co mmon Lentil,BING DOU,Lens culinaris,,,,,,,,,,,2718,,,HERB000492
CWIHE000062,TCMBANKHE000062,,,,Decaline Nightshade,SHI XIAN QIE,Solanum decemlineata,,,,,,,,,,,2832,,,HERB005093
CWIHE000063,TCMBANKHE000063,,,似荆芥巴豆,Nepeta-like Croton*,,,,,,,,,,,,,,,,
CWIHE000064,TCMBANKHE000064,,,哈市罗汉松,Hall Podocarpus,HA SHI LUO HAN SONG,Podocarpus hallii,,,,,,,,,,,7613,,,HERB002073
CWIHE000065,TCMBANKHE000065,,,金刚刺,Smilax scobinicaulis C.H. Wright,JIN GANG CI,,,,,,,,,,,,7041,,,HERB002899
CWIHE000066,TCMBANKHE000066,,,,Cultrate Rosewood,XIAO DAO XING HUANG TAN,Dalbergia cultrata,,,,,,,,,,,4899,,,HERB006077
CWIHE000067,TCMBANKHE000067,,,萱草嫩苗,Plantula Hemerocalis fulvae,XUAN CAO NEN MIAO,,,,,,,,,,,,3322,,,HERB006266
CWIHE000068,TCMBANKHE000068,,,紫藤根,Radix Wisteriae sinensis,ZI TENG GEN,,,,,,,,,,,,7256,,,HERB007218
CWIHE000069,TCMBANKHE000069,,,蓝雪花,BIue Ceratostigma,,,,,,,,,,,,,,,,
CWIHE000070,TCMBANKHE000070,,,,Red-milk Grass,HONG RU CAO,Euphorbia makinoi,,,,,,,,,,,5060,,,HERB002315
CWIHE000071,TCMBANKHE000071,,,水丁香茎,,,,,,,,,,,,,,,,,
CWIHE000072,TCMBANKHE000072,,,软骨海头红,,,,,,,,,,,,,,,,,
CWIHE000073,TCMBANKHE000073,,,欧绵马,Dryopteris filix-mas (L.) Schott,OU MIAN MA,,,,,,,,,,,,4199,,,HERB004258
CWIHE000074,TCMBANKHE000074,,,粗毛栓菌,Hirsute Yam,CU MAO SHU YU,Dioscorea hirsuta,,,,,,,,,,,5152,,,HERB000979
CWIHE000075,TCMBANKHE000075,,,盐麸叶,Chinese Sumac Leaf ,,,,,,,,,,,,,,,,
CWIHE000076,TCMBANKHE000076,,,总苞格尼迪木,,,,,,,,,,,,,,,,,
CWIHE000077,TCMBANKHE000077,,,杜松果实,Stiffleaf juniper Fruit ,,,,,,,,,,,,,,,,
CWIHE000078,TCMBANKHE000078,,,彩纹千金藤,DiscoIor Stephania*,,,,,,,,,,,,,,,,
CWIHE000079,TCMBANKHE000079,,,远志叶澳州茶,,,,,,,,,,,,,,,,,
CWIHE000080,TCMBANKHE000080,,,词马钱子,Aculeate Poisonnut*,,,,,,,,,,,,,,,,
CWIHE000081,TCMBANKHE000081,,,柚花,Flos Citri grandis,YOU HUA,,,,,,,,,,,,4683,,,HERB006686
CWIHE000082,TCMBANKHE000082,,,,Montana Corydalis,MENG DA NA ZI JIN,Corydalis montana,,,,,,,,,,,6951,,,HERB003902
CWIHE000083,TCMBANKHE000083,,,木槿叶,Folium Hibisci syriaci,MU JIN YE,,,,,,,,,,,,6620,,,HERB004035
CWIHE000084,TCMBANKHE000084,,,土耳其郁金香,Turkey Tulip,TU ER QI YU JIN XIANG,Tulipa turkestani,,,,,,,,,,,3684,,,HERB005562
CWIHE000085,TCMBANKHE000085,,,劳氏文殊兰,Laurent Crinum*,,,,,,,,,,,,,,,,
CWIHE000086,TCMBANKHE000086,,,化香树果,Fructus Platycaryae Strobilaceae,HUA XIANG SHU GOU,,,,,,,,,,,,2736,,,HERB002457
CWIHE000087,TCMBANKHE000087,,,南非樟桂,,,,,,,,,,,,,,,,,
CWIHE000088,TCMBANKHE000088,,,红萼鸡血藤,Redcalyx Millettia*,,,,,,,,,,,,,,,,
CWIHE000089,TCMBANKHE000089,,,,Parchment-like Milky,SI YANG PI ZHI RU GU,Lactarius pergamenus,,,,,,,,,,,7184,,,HERB005254
CWIHE000090,TCMBANKHE000090,,,,Argute Perilla,RUI ZI SU,Perilla arguta,,,,,,,,,,,2558,,,HERB004739
CWIHE000091,TCMBANKHE000091,,,,Reticulatefru it Larkspur,WANG GUO CUI QUE HUA,Delphinium dictyocarpum,,,,,,,,,,,7182,,,HERB005642
CWIHE000092,TCMBANKHE000092,,,离基三出脉马钱,Triplinervia  Poisonnut* ,,,,,,,,,,,,,,,,
CWIHE000093,TCMBANKHE000093,,,朴叶山柚子,Celtis-leaf Opilia*,,,,,,,,,,,,,,,,
CWIHE000094,TCMBANKHE000094,,,膜质脚骨脆,Membranous Casearia*,,,,,,,,,,,,,,,,
CWIHE000095,TCMBANKHE000095,,,,Thunberg Hydrangea,SE BO GE XIU QIU,Hydrangea macrophylla var. thunbergii,,,,,,,,,,,5133,,,HERB004840
CWIHE000096,TCMBANKHE000096,,,圆叶捕蝇草,Round-leaf Flytrap*,,,,,,,,,,,,,,,,
CWIHE000097,TCMBANKHE000097,,,,True Indigo,MU LAN,Indigofera tinctoria,,,stem-leaf,"To clear heat and resolve toxin, cool blood and stanch bleeding.","Encephalitis B, parotitis, acute pharyngolaryngitis, red eyes, lymphrnoditis, mouth sore, swollen welling abscess, sore and boil, erysipelas, scab and lichen, snake or insect bites, blood ejection.",,,,,,7375,,,HERB004048
CWIHE000098,TCMBANKHE000098,,,龟板胶,Gelatin of Tortoise plastron,GUI BAN JIAO,Colla carapacis et plastri testudinis,Cold; Sweet; Salty,Liver; Heart; Kidney,,"Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh","Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ",,,For tonifying weakness,补虚,,8182,,298,HERB002045
CWIHE000099,TCMBANKHE000099,,,向日葵,,,,,,,,,,,,,,,,,
CWIHE000100,TCMBANKHE000100,,,,Angkak,RED KOJI,Monascus kaoliang GAO LIANG HONG QU,,,,,,,,,,,6388,,,HERB004604
CWIHE000101,TCMBANKHE000101,,,小花木瓣树,Smallflower Xylopia*,,,,,,,,,,,,,,,,
CWIHE000102,TCMBANKHE000102,,,巨箬棕,,,,,,,,,,,,,,,,,
CWIHE000103,TCMBANKHE000103,,,沙蟹,,,,,,,,,,,,,,,,,
CWIHE000104,TCMBANKHE000104,,,塞了罗勒?,Sello Basil,SAI LE LUO LE,Ocimum selloi,,,,,,,,,,,4637,,,HERB004749
CWIHE000105,TCMBANKHE000105,,,墓头回,Et Radix Patriniae Rhizoma,MU TOU HUI,,,,,,,,,Antipyretic Detoxicate Drugs,清热解毒药,SMHB00294,,294,,HERB004063
CWIHE000106,TCMBANKHE000106,,,效果云翔,Smallfruit Rue*,,,,,,,,,,,,,,,,
CWIHE000107,TCMBANKHE000107,,,母丁香,Clove fruit,MU DING XIANG,Fructus Caryophylli,Warm; Pungent,Spleen; Stomach; Kidney,Eugenia caryophyllata Thunb,"To warm the spleen and stomach, to regulate the adverse flow of the stomach qi, and to restore the kidney yang.",,,,For warming interior,温里,,4990,,517,HERB004015
CWIHE000108,TCMBANKHE000108,,,,Trinidad Pepper,TE LI NI DA HU JIAO,Piper aequale,,,,,,,,,,,2303,,,HERB005417
CWIHE000109,TCMBANKHE000109,,,,Tinileaf Eupatorium,SI MIAN MAO JIA MI YE ZE LAN,Eupatorium tinifolium,,,,,,,,,,,4076,,,HERB005242
CWIHE000110,TCMBANKHE000110,,,鹅膏属,,,,,,,,,,,,,,,,,
CWIHE000111,TCMBANKHE000111,,,,Propolis ,,,,,,,,,,,,,,,,
CWIHE000112,TCMBANKHE000112,,,秀丽鹰爪,Venus Tailgrape*,,,,,,,,,,,,,,,,
CWIHE000113,TCMBANKHE000113,,,,Largeflower Falsehellebore ,,,,,,,,,,,,,,,,
CWIHE000114,TCMBANKHE000114,,,,Nutgrass Galingale ,,,,,,,,,,,,,,,,
CWIHE000115,TCMBANKHE000115,,,多边花白莱氏菊,Manyradiate Bailai’s Chrysanthemum*,,,,,,,,,,,,,,,,
CWIHE000116,TCMBANKHE000116,,,,Japanese Yew ,,,,,,,,,,,,,,,,
CWIHE000117,TCMBANKHE000117,,,小叶莲,Common Sinopodophyllum Fruit,XIAO YE LIAN,Fructus Podophylli,Mild; Sweet,,Podophyllum ernodi Wall.,"Treatment of amenorrhea due to blood stasis, difficult labour, missed labour, retention of placenta.","Treatment of amenorrhea due to blood stasis, difficult labour, missed labour, retention of placenta.",Toxic,,,,,4489,,769,HERB006175
CWIHE000118,TCMBANKHE000118,,,五角番泻树,Fiveangular Senna,WU LENG JUE MING,Cassia quinquangula,,,,,,,,,,,1837,,,HERB005729
CWIHE000119,TCMBANKHE000119,,,,Spined Custardapple,CI ZHUANG FAN LI ZHI,Annona spinescens,,,,,,,,,,,7420,,,HERB000946
CWIHE000120,TCMBANKHE000120,,,杜蘅,Forbes WiIdginger ,,,,,,,,,,,,,,,,
CWIHE000121,TCMBANKHE000121,,,西藏酸模,Radix Rumicis Tibetci,XI ZANG SUAN MO,,,,,,,,,,,,2457,,,HERB005923
CWIHE000122,TCMBANKHE000122,,,黄硬皮马勃,Yellow Hardpeel Puff-ball,HUANG YING PI MA BO,Scleroderma citrinum,,,,,,,,,,,4361,,,HERB002595
CWIHE000123,TCMBANKHE000123,,,西台,,XI TAI,Pellia epiphylla,,,,,,,,,,,7267,,,HERB005884
CWIHE000124,TCMBANKHE000124,,,石灰华,Calcareous Tuff,SHI HUI HUA,Calx Pulveratum,,,,,,,,,,,5639,,653,HERB005057
CWIHE000125,TCMBANKHE000125,,,勒氏金合,Luederitz Acacia*,,,,,,,,,,,,,,,,
CWIHE000126,TCMBANKHE000126,,,撒是毛地黄,Thaps Foxglove,SA SHI MAO DI HUANG,Digitalis thapsii,,,,,,,,,,,2436,,,HERB004745
CWIHE000127,TCMBANKHE000127,,,少花蕊木,Fewflower Kopsia*,,,,,,,,,,,,,,,,
CWIHE000128,TCMBANKHE000128,,,礁膜,,,,,,,,,,,,,,,,,
CWIHE000129,TCMBANKHE000129,,,枸杞小波,Medlar Barberry,GOU QI XIAO BO,Berberis zycium,,,,,,,,,,,1720,,,HERB001913
CWIHE000130,TCMBANKHE000130,,,连翘茎叶,Caulis et Folium Forsythiae suspensae,LIAN QIAO JING YE,,,,,,,,,,,,7496,,,HERB003363
CWIHE000131,TCMBANKHE000131,,,乔木马泰木,,,,,,,,,,,,,,,,,
CWIHE000132,TCMBANKHE000132,,,,Gl obe Artichoke,CAI JI,Cynara scolymus,,,leaf,"To course liver and disinhibit gallbladder, clear damp heat.","Jaundice, distending pain in chest and rib-side, damp-heat diarrhea dysentery.",,,,,,1237,,,HERB000559
CWIHE000133,TCMBANKHE000133,,,益康巴豆,Salutary Croton*,,,,,,,,,,,,,,,,
CWIHE000134,TCMBANKHE000134,,,胶豨签,Gummy St. PauIswort* ,,,,,,,,,,,,,,,,
CWIHE000135,TCMBANKHE000135,,,棕盔糙苏,,,,,,,,,,,,,,,,,
CWIHE000136,TCMBANKHE000136,,,一窝鸡,Asparagus lycopodineus Wall. ex Baker,YI WO JI,,,,,,,,,,,,1335,,,HERB006548
CWIHE000137,TCMBANKHE000137,,,,Phut kandu (local names),BUI,Ballota limbata,,,,,,,,,,,7082,,,HERB000555
CWIHE000138,TCMBANKHE000138,,,榼藤子,CIimbing Entada Seed,,,,,,,,,,,,,,,,
CWIHE000139,TCMBANKHE000139,,,,BeautifuI CrotaIaria,,,,,,,,,,,,,,,,
CWIHE000140,TCMBANKHE000140,,,雀稗麦角,Paspalum Ergot*,,,,,,,,,,,,,,,,
CWIHE000141,TCMBANKHE000141,,,,Abutilon Nightshade,MA ZHUANG QIE,Solanum abutiloides,,,,,,,,,,,5610,,,HERB003705
CWIHE000142,TCMBANKHE000142,,,,Andrographis,BAI LI XIANG YE CHUN XIN LIAN,Andrographis serpyllifolia,,,,,,,,,,,7677,,,HERB000235
CWIHE000143,TCMBANKHE000143,,,大国桃金娘,Bigfruit Rosemyrtle*,,,,,,,,,,,,,,,,
CWIHE000144,TCMBANKHE000144,,,,Allugha Galangal,A LU HA LIANG JIANG,Alpinia allughas,,,,,,,,,,,2536,,,HERB000023
CWIHE000145,TCMBANKHE000145,,,枣树皮,Cortex Ziziphi jujubae,ZAO SHU PI,,,,,,,,,,,,4631,,,HERB006896
CWIHE000146,TCMBANKHE000146,,,大芭蕉,Big Anisetree,DA BA JIAO,Illicium majus,,,bark,See Illicium difengpi .,See Illicium difengpi .,,,,,,1541,,,HERB001012
CWIHE000147,TCMBANKHE000147,,,全缘千里光,Entire GroundseI,,,,,,,,,,,,,,,,
CWIHE000148,TCMBANKHE000148,,,多果依南木,,,,,,,,,,,,,,,,,
CWIHE000149,TCMBANKHE000149,,,金英姿,Cherokee Rose Seed,,,,,,,,,,,,,,,,
CWIHE000150,TCMBANKHE000150,,,汉密尔顿灰叶,Hamilton Tephrosia*,,,,,,,,,,,,,,,,
CWIHE000151,TCMBANKHE000151,,,制地龙,Prepared Earthworm,ZHI DI LONG,Pheretima Preparata,Cold; Salty,Bladder; Spleen; Liver,,"Treatment of high fever with impaired consciousness, convulsions, arthralgia, numbness of the limbs, hemiplegia, cough and asthma due to heat in the lung, edema ano oliguria, hypertension.","1. Relaxing bronchial spasm in rats or rabbits.2. Intravenous injection of alcoholic infusion (0.1g/kg) lowers blood pressure in anesthetized dogs.3. Sedative and anticonvulsive.4. Lumbrifebrine, one of its active components, is ab antipyretic.",,"1. Relaxing bronchial spasm in rats or rabbits.2. Intravenous injection of alcoholic infusion (0.1g/kg) lowers blood pressure in anesthetized dogs.3. Sedative and anticonvulsive.4. Lumbrifebrine, one of its active components, is ab antipyretic.",For calming liver and containing wind,平肝息风,,2723,,846,HERB006987
CWIHE000152,TCMBANKHE000152,,,,Fairy  Primrose ,,,,,,,,,,,,,,,,
CWIHE000153,TCMBANKHE000153,,,,Berghe Eucalyptus,BO SHI AN,Eucalyptus berghei,,,,,,,,,,,2689,,,HERB000525
CWIHE000154,TCMBANKHE000154,,,,Lanceleaf Eupatorium,ZHEN YE ZE LAN,Eupatorium lancifolium,,,,,,,,,,,3814,,,HERB006966
CWIHE000155,TCMBANKHE000155,,,绿竹,Oldham Bamboo Shoot ,,,,,,,,,,,,,,,,
CWIHE000156,TCMBANKHE000156,,,河谷地不容,,HE GU DI BU RONG,,,,,,,,,,,,6567,,,HERB002165
CWIHE000157,TCMBANKHE000157,,,过路黄,all-grass of Heavyspike Loosestrife,GUO LU HUANG,Herba Lysimachiae,Minor Warm; Pungent; Sweet,Bladder; Liver; Kidney; Gallbladder,Lysimachia phyllocephala Hand. -Mazz,For promoting diuresis and reducing yellowness,,,,For promoting diuresis and penetrating dampness,利水渗湿,,1595,,304,HERB002068
CWIHE000158,TCMBANKHE000158,,,毛叶假鹰瓜根,Piloseleaf Desmos Root ,,,,,,,,,,,,,,,,
CWIHE000159,TCMBANKHE000159,,,喇叭状多果树,,,,,,,,,,,,,,,,,
CWIHE000160,TCMBANKHE000160,,,蔡斯苍耳*,Chase Cocklebur*,,,,,,,,,,,,,,,,
CWIHE000161,TCMBANKHE000161,,,染料四实木,,,,,,,,,,,,,,,,,
CWIHE000162,TCMBANKHE000162,,,南萱含笑,South Asia Michelia ,,,,,,,,,,,,,,,,
CWIHE000163,TCMBANKHE000163,,,黑花延命草,Blackflawer Rabdosia*,,,,,,,,,,,,,,,,
CWIHE000164,TCMBANKHE000164,,,尼泊尔绒蒿,Nepal Meconopsis ,,,,,,,,,,,,,,,,
CWIHE000165,TCMBANKHE000165,,,马岛哈尼木,Madagascar Hani-wood*,,,,,,,,,,,,,,,,
CWIHE000166,TCMBANKHE000166,,,霍香叶,leaf of wrinkled gianthyssop,HUO XIANG YE,Folium Agastachis,Minor Warm; Pungent,Lung; Spleen; Stomach,Foeniculum vugare Mill,"1. Treatment of dampness blocking the spleen and stomach manifested as epigastric and abdominal distension, nausea, vomiting and poor appetite. Agastache (Huoxiang) is used with Atractylodes rhizome (Cangzhu), Magnolia bark (Houpo) and Pinellia tuber (Banxia) in the formula Buhuanjin Zhenqi San. 2. Treatment of internal injury caused by raw and cold food and invasion by exogenous wind and cold in summer manifested as chills, fever, headache, epigastric fullness, nausea, vomiting and diarrhea. Agastache (Huoxiang) is used with Perilla leaf (Zisuye), Pinellia tuber (Banxia), Magnolia bark (Houpo) and Tangerine peel (Chenpi) in the formula Huoxiang Zhengqi San. 3. Treatment of vomiting","1. Treatment of dampness blocking the spleen and stomach manifested as epigastric and abdominal distension, nausea, vomiting and poor appetite. Agastache (Huoxiang) is used with Atractylodes rhizome (Cangzhu), Magnolia bark (Houpo) and Pinellia tuber (Ban",,,For desolving dampness by flavors,芳香化湿,,3258,,376,HERB002646
CWIHE000167,TCMBANKHE000167,,,可食米仔兰,Edible Aglaia*,,,,,,,,,,,,,,,,
