CWI_ID,TCMBank_ID,Gene_name,Gene_alias,Description,Map_location,Gene_Type,TTD_gene_type
CWITA000087,TCMBANKGE000087,TNFRSF10C,CD263; DCR1; DCR1-TNFR; LIT; TRAIL-R3; TRAILR3; TRID,TNF receptor superfamily member 10c,8p21.3,protein-coding,/
CWITA000088,TCMBANKGE000088,PPP5C,PP5; PPP5; PPT,protein phosphatase 5 catalytic subunit,19q13.32,protein-coding,Patented target
CWITA000089,TCMBANKGE000089,PIK3R2,MPPH; MPPH1; P85B; p85; p85-BETA,phosphoinositide-3-kinase regulatory subunit 2,19p13.11,protein-coding,/
CWITA000090,TCMBANKGE000090,SART3,DSAP1; P100; RP11-13G14; TIP110; p110; p110(nrb),"spliceosome associated factor 3, U4/U6 recycling protein",12q23.3,protein-coding,/
CWITA000091,TCMBANKGE000091,PRDM4,PFM1,PR/SET domain 4,12q23.3,protein-coding,/
CWITA000092,TCMBANKGE000092,DDX58,RIG-I; RIG1; RIGI; RLR-1; SGMRT2,DExD/H-box helicase 58,9p21.1,protein-coding,Clinical Trial target
CWITA000093,TCMBANKGE000093,IFNB1,IFB; IFF; IFN-beta; IFNB,interferon beta 1,9p21.3,protein-coding,Successful target
CWITA000094,TCMBANKGE000094,NR5A1,AD4BP; ELP; FTZ1; FTZF1; POF7; SF-1; SF1; SPGF8; SRXX4; SRXY3; hSF-1,nuclear receptor subfamily 5 group A member 1,9q33.3,protein-coding,/
CWITA000095,TCMBANKGE000095,CYP11B2,ALDOS; CPN2; CYP11B; CYP11BL; CYPXIB2; P-450C18; P450C18; P450aldo,cytochrome P450 family 11 subfamily B member 2,8q24.3,protein-coding,Clinical Trial target
CWITA000096,TCMBANKGE000096,TBK1,FTDALS4; IIAE8; NAK; T2K,TANK binding kinase 1,12q14.2,protein-coding,Patented target
CWITA000097,TCMBANKGE000097,IRF3,IIAE7,interferon regulatory factor 3,19q13.33,protein-coding,Research target
CWITA000098,TCMBANKGE000098,ATP1A4,ATP1A1; ATP1AL2,ATPase Na+/K+ transporting subunit alpha 4,1q23.2,protein-coding,/
CWITA000099,TCMBANKGE000099,EIF5AL1,EIF5A; EIF5AP1; bA342M3.3; eIF-4D; eIF-5A; eIF-5A-1; eIF-5A1,eukaryotic translation initiation factor 5A like 1,10q22.3,protein-coding,/
CWITA000100,TCMBANKGE000100,EIF5A,EIF-5A; EIF5A1; eIF-4D; eIF5AI,eukaryotic translation initiation factor 5A,17p13.1,protein-coding,Research target
CWITA000101,TCMBANKGE000101,PGF,D12S1900; PGFL; PIGF; PLGF; PlGF-2; SHGC-10760,placental growth factor,14q24.3,protein-coding,Successful target
CWITA000102,TCMBANKGE000102,MAFG,hMAF,MAF bZIP transcription factor G,17q25.3,protein-coding,/
CWITA000103,TCMBANKGE000103,MAFF,U-MAF; hMafF,MAF bZIP transcription factor F,22q13.1,protein-coding,/
CWITA000104,TCMBANKGE000104,GSTZ1,GSTZ1-1; MAAI; MAAID; MAI,glutathione S-transferase zeta 1,14q24.3,protein-coding,/
CWITA000105,TCMBANKGE000105,KIF5B,HEL-S-61; KINH; KNS; KNS1; UKHC,kinesin family member 5B,10p11.22,protein-coding,/
CWITA000106,TCMBANKGE000106,SCN10A,FEPS2; Nav1.8; PN3; SNS; hPN3,sodium voltage-gated channel alpha subunit 10,3p22.2,protein-coding,Successful target
CWITA000107,TCMBANKGE000107,ARFGEF3,A7322; BIG3; C6orf92; KIAA1244; PPP1R33; dJ171N11.1,ARFGEF family member 3,6q23.3-q24.1,protein-coding,/
CWITA000108,TCMBANKGE000108,COMP,EDM1; EPD1; MED; PSACH; THBS5; TSP5,cartilage oligomeric matrix protein,19p13.11,protein-coding,/
CWITA000109,TCMBANKGE000109,ACTB,BRWS1; PS1TP5BP1,actin beta,7p22.1,protein-coding,/
CWITA000110,TCMBANKGE000110,DPYSL2,CRMP-2; CRMP2; DHPRP2; DRP-2; DRP2; N2A3; ULIP-2; ULIP2,dihydropyrimidinase like 2,8p21.2,protein-coding,Successful target
CWITA000111,TCMBANKGE000111,BCL10,CARMEN; CIPER; CLAP; IMD37; c-E10; mE10,BCL10 immune signaling adaptor,1p22.3,protein-coding,/
CWITA000112,TCMBANKGE000112,MGLL,HU-K5; HUK5; MAGL; MGL,monoglyceride lipase,3q21.3,protein-coding,Clinical Trial target
CWITA000113,TCMBANKGE000113,CCNA1,CT146,cyclin A1,13q13.3,protein-coding,/
CWITA000114,TCMBANKGE000114,PLA2G6,CaI-PLA2; GVI; INAD1; IPLA2-VIA; NBIA2; NBIA2A; NBIA2B; PARK14; PLA2; PNPLA9; iPLA2; iPLA2beta,phospholipase A2 group VI,22q13.1,protein-coding,/
CWITA000115,TCMBANKGE000115,DEPP1,C10orf10; DEPP; FIG; Fseg,DEPP1 autophagy regulator,10q11.21,protein-coding,/
CWITA000116,TCMBANKGE000116,ZHX2,AFR1; RAF,zinc fingers and homeoboxes 2,8q24.13,protein-coding,/
CWITA000117,TCMBANKGE000117,RUNX3,AML2; CBFA3; PEBP2aC,RUNX family transcription factor 3,1p36.11,protein-coding,Research target
CWITA000118,TCMBANKGE000118,CAPN2,CANP2; CANPL2; CANPml; mCANP,calpain 2,1q41,protein-coding,Clinical Trial target
CWITA000119,TCMBANKGE000119,PDE4D,ACRDYS2; DPDE3; HSPDE4D; PDE43; PDE4DN2; STRK1,phosphodiesterase 4D,5q11.2-q12.1,protein-coding,Successful target
CWITA000120,TCMBANKGE000120,PDK1,-,pyruvate dehydrogenase kinase 1,2q31.1,protein-coding,Patented target
CWITA000121,TCMBANKGE000121,KCNH2,ERG-1; ERG1; H-ERG; HERG; HERG1; Kv11.1; LQT2; SQT1,potassium voltage-gated channel subfamily H member 2,7q36.1,protein-coding,Successful target
CWITA000122,TCMBANKGE000122,PTGES3,P23; TEBP; cPGES,prostaglandin E synthase 3,12q13.3|12,protein-coding,/
CWITA000123,TCMBANKGE000123,RPA1,HSSB; MST075; REPA1; RF-A; RP-A; RPA70,replication protein A1,17p13.3,protein-coding,/
CWITA000124,TCMBANKGE000124,EEF2,EEF-2; EF-2; EF2; SCA26,eukaryotic translation elongation factor 2,19p13.3,protein-coding,/
CWITA000125,TCMBANKGE000125,AGMAT,-,agmatinase,1p36.21,protein-coding,/
CWITA000126,TCMBANKGE000126,NFE2L1,LCR-F1; NRF1; TCF11,"nuclear factor, erythroid 2 like 1",17q21.32,protein-coding,/
CWITA000127,TCMBANKGE000127,MFN2,CMT2A; CMT2A2; CMT2A2A; CMT2A2B; CPRP1; HMSN6A; HSG; MARF,mitofusin 2,1p36.22,protein-coding,/
CWITA000128,TCMBANKGE000128,PRDX1,MSP23; NKEF-A; NKEFA; PAG; PAGA; PAGB; PRX1; PRXI; TDPX2,peroxiredoxin 1,1p34.1,protein-coding,/
CWITA000129,TCMBANKGE000129,MAP3K14,FTDCR1B|HS|HSNIK|NIK,mitogen-activated protein kinase kinase kinase 14,17q21.31,protein-coding,Research target
CWITA000130,TCMBANKGE000130,TOP2A,TOP2; TP2A,DNA topoisomerase II alpha,17q21.2,protein-coding,Clinical Trial target
CWITA000131,TCMBANKGE000131,CDC25C,CDC25; PPP1R60,cell division cycle 25C,5q31.2,protein-coding,Research target
CWITA000132,TCMBANKGE000132,MAT2A,MATA2; MATII; SAMS2,methionine adenosyltransferase 2A,2p11.2,protein-coding,Clinical Trial target
CWITA000133,TCMBANKGE000133,MAP2K5,HsT17454; MAPKK5; MEK5; PRKMK5,mitogen-activated protein kinase kinase 5,15q23,protein-coding,Research target
CWITA000134,TCMBANKGE000134,EPO,DBAL; ECYT5; EP; MVCD2,erythropoietin,7q22.1,protein-coding,Clinical Trial target
CWITA000135,TCMBANKGE000135,CXCR4,CD184; D2S201E; FB22; HM89; HSY3RR; LAP-3; LAP3; LCR1; LESTR; NPY3R; NPYR; NPYRL; NPYY3R; WHIM; WHIMS,C-X-C motif chemokine receptor 4,2q22.1,protein-coding,Successful target
CWITA000136,TCMBANKGE000136,MKI67,KIA; MIB-; MIB-1; PPP1R105,marker of proliferation Ki-67,10q26.2,protein-coding,Research target
CWITA000137,TCMBANKGE000137,PLAU,ATF; BDPLT5; QPD; UPA; URK; u-PA,"plasminogen activator, urokinase",10q22.2,protein-coding,Successful target
CWITA000138,TCMBANKGE000138,PRKCE,PKCE; nPKC-epsilon,protein kinase C epsilon,2p21,protein-coding,Research target
CWITA000139,TCMBANKGE000139,POR,CPR; CYPOR; P450R,cytochrome p450 oxidoreductase,7q11.23,protein-coding,Discontinued target
CWITA000140,TCMBANKGE000140,EIF4EBP1,4E-BP1; 4EBP1; BP-1; PHAS-I,eukaryotic translation initiation factor 4E binding protein 1,8p11.23,protein-coding,Research target
CWITA000141,TCMBANKGE000141,CALR,CRT; HEL-S-99n; RO; SSA; cC1qR,calreticulin,19p13.13,protein-coding,Research target
CWITA000142,TCMBANKGE000142,CALCR,CRT; CT-R; CTR; CTR1,calcitonin receptor,7q21.3,protein-coding,Successful target
CWITA000143,TCMBANKGE000143,POU5F1P4,OCT3; OCT4; OTF-3; OTF3; Oct-3; Oct-4; Oct4-pg4; POU5F1; POU5FLC1,POU class 5 homeobox 1 pseudogene 4,1q22,pseudo,/
CWITA000144,TCMBANKGE000144,POU5F1P3,OCT3; OCT4; OCT4-pg3; OTF-3; OTF3; OTF3L; Oct-3; Oct-4; POU5F1; POU5F1L; POU5FLC12,POU class 5 homeobox 1 pseudogene 3,12p13.31,pseudo,/
CWITA000145,TCMBANKGE000145,ADAMTS5,ADAM-TS 11; ADAM-TS 5; ADAM-TS5; ADAMTS-11; ADAMTS-5; ADAMTS11; ADMP-2,ADAM metallopeptidase with thrombospondin type 1 motif 5,21q21.3,protein-coding,Clinical Trial target
CWITA000146,TCMBANKGE000146,CAPN10,CANP10; NIDDM1,calpain 10,2q37.3,protein-coding,/
CWITA000147,TCMBANKGE000147,OPA1,BERHS; MGM1; MTDPS14; NPG; NTG; largeG,OPA1 mitochondrial dynamin like GTPase,3q29,protein-coding,Research target
CWITA000148,TCMBANKGE000148,USP51,-,ubiquitin specific peptidase 51,Xp11.21,protein-coding,/
CWITA000149,TCMBANKGE000149,MAP3K12,DLK; MEKK12; MUK; ZPK; ZPKP1,mitogen-activated protein kinase kinase kinase 12,12q13.13,protein-coding,/
CWITA000150,TCMBANKGE000150,MIR192,MIRN192; miR-192; miRNA192,microRNA 192,11q13.1,ncRNA,/
CWITA000151,TCMBANKGE000151,UBE2C,UBCH10; dJ447F3.2,ubiquitin conjugating enzyme E2 C,20q13.12,protein-coding,/
CWITA000152,TCMBANKGE000152,RANBP10,-,RAN binding protein 10,16q22.1,protein-coding,/
CWITA000153,TCMBANKGE000153,USP7,HAUSP; TEF1,ubiquitin specific peptidase 7,16p13.2,protein-coding,Patented target
CWITA000154,TCMBANKGE000154,CCR2,CC-CKR-2; CCR-2; CCR2A; CCR2B; CD192; CKR2; CKR2A; CKR2B; CMKBR2; MCP-1-R,C-C motif chemokine receptor 2,3p21.31,protein-coding,Clinical Trial target
CWITA000155,TCMBANKGE000155,SPAG5,DEEPEST; MAP126; hMAP126,sperm associated antigen 5,17q11.2,protein-coding,/
CWITA000156,TCMBANKGE000156,Atat1,0610011P08Rik; 2610008K08Rik; 2610110G12Rik; 3110080J08Rik; MEC-17; Mec17; TAT,alpha tubulin acetyltransferase 1,17|17 B1,protein-coding,
CWITA000157,TCMBANKGE000157,PRC1,ASE1,protein regulator of cytokinesis 1,15q26.1,protein-coding,/
CWITA000158,TCMBANKGE000158,RHOA,ARH12; ARHA; EDFAOB; RHO12; RHOH12,ras homolog family member A,3p21.31,protein-coding,Discontinued target
CWITA000159,TCMBANKGE000159,RHOH,ARHH; TTF,ras homolog family member H,4p14,protein-coding,/
CWITA000160,TCMBANKGE000160,COL2A1,ANFH; AOM; COL11A3; SEDC; STL1,collagen type II alpha 1 chain,12q13.11,protein-coding,/
CWITA000161,TCMBANKGE000161,ADAMTS4,ADAMTS-2; ADAMTS-4; ADMP-1,ADAM metallopeptidase with thrombospondin type 1 motif 4,1q23.3,protein-coding,Research target
CWITA000162,TCMBANKGE000162,MMP13,CLG3; MANDP1; MDST; MMP-13,matrix metallopeptidase 13,11q22.2,protein-coding,Clinical Trial target
CWITA000163,TCMBANKGE000163,TNFRSF1B,CD120b; TBPII; TNF-R-II; TNF-R75; TNFBR; TNFR1B; TNFR2; TNFR80; p75; p75TNFR,TNF receptor superfamily member 1B,1p36.22,protein-coding,Research target
CWITA000164,TCMBANKGE000164,MIR203A,MIR203; MIRN203; hsa-mir-203a; miR-203; miRNA203; mir-203a,microRNA 203a,14q32.33,ncRNA,/
CWITA000165,TCMBANKGE000165,ETFDH,ETFQO; MADD,electron transfer flavoprotein dehydrogenase,4q32.1,protein-coding,/
CWITA000166,TCMBANKGE000166,EP300,KAT3B; MKHK2; RSTS2; p300,E1A binding protein p300,22q13.2,protein-coding,Research target
CWITA000167,TCMBANKGE000167,EZR,CVIL; CVL; HEL-S-105; VIL2,ezrin,6q25.3,protein-coding,Research target
CWITA000168,TCMBANKGE000168,NR3C1,GCCR; GCR; GCRST; GR; GRL,nuclear receptor subfamily 3 group C member 1,5q31.3,protein-coding,Successful target
CWITA000169,TCMBANKGE000169,BBC3,JFY-1; JFY1; PUMA,BCL2 binding component 3,19q13.32,protein-coding,Research target
CWITA000170,TCMBANKGE000170,GLRX,GRX; GRX1,glutaredoxin,5q15,protein-coding,Research target
CWITA000171,TCMBANKGE000171,DNMT1,ADCADN; AIM; CXXC9; DNMT; HSN1E; MCMT; m.HsaI,DNA methyltransferase 1,19p13.2,protein-coding,Clinical Trial target
CWITA000172,TCMBANKGE000172,IGFBP1,AFBP; IBP1; IGF-BP25; PP12; hIGFBP-1,insulin like growth factor binding protein 1,7p12.3,protein-coding,Research target
